reward_pointer,reward_position,surprise_pointer,surprise_position,steps_after_reward,anchor_pointer,anchor_position,hash_key,env,score_context_start,score,abs_td_error,value_previous,value,value_next,value_diff,z_td,z_value_signal,reward_at_surprise,trigger_window_max_score,trigger_window_max_pointer,trigger_is_window_max,trigger_threshold,trigger_passed
47856,47856,47856,47856,0,47854,47854,155,0,47794,0.10060817003250122,0.9718414545059204,0.4162951707839966,-0.02509629726409912,-0.054065823554992676,-0.4413914680480957,7.150166034698486,-4.256613731384277,1.0,6.376607894897461,47854,False,3.5,False
19279,19279,19279,19279,0,19277,19277,168,0,19217,0.09957592934370041,0.9600222110748291,0.6147969961166382,0.17368102073669434,0.13573932647705078,-0.44111597537994385,7.0581488609313965,-4.253955364227295,1.0,2.596888303756714,19273,False,3.5,False
46434,46434,46434,46434,0,46432,46432,405,0,46372,0.09231467545032501,0.8450512886047363,0.7627124786376953,0.32784807682037354,0.17553234100341797,-0.4348644018173218,6.1630539894104,-4.1936259269714355,1.0,4.458616733551025,46433,False,3.5,False
33594,33594,33594,33594,0,33592,33592,207,0,33532,0.09082979708909988,0.9831784963607788,0.5592620372772217,0.10592496395111084,0.09046041965484619,-0.45333707332611084,7.238429546356201,-4.371891498565674,1.0,1.304535150527954,33591,False,3.5,False
49354,49354,49357,49357,3,49355,49355,102,0,49295,0.0891936719417572,0.07467087358236313,0.11951756477355957,0.08446919918060303,0.009947538375854492,-0.03504836559295654,0.16533207893371582,-0.33530759811401367,0.0,5.941704750061035,49354,False,3.5,False
38009,38009,38009,38009,0,38007,38007,145,0,37947,0.08919068425893784,0.9824267625808716,0.5436556339263916,0.08850407600402832,0.07201099395751953,-0.4551515579223633,7.232577323913574,-4.389401912689209,1.0,5.099736213684082,38008,False,3.5,False
43285,43285,43285,43285,0,43283,43283,230,0,43223,0.0869324579834938,0.7539042234420776,0.7389215230941772,0.3105581998825073,0.06544411182403564,-0.4283633232116699,5.453437328338623,-4.130888938903809,1.0,20.294008255004883,43236,False,3.5,False
50534,50534,50535,50535,1,50533,50533,710,0,50473,0.08384545147418976,0.06439709663391113,0.04325377941131592,0.09614765644073486,0.0322340726852417,0.052893877029418945,0.08534658700227737,0.5133556723594666,0.0,2.443894386291504,50534,False,3.5,False
46434,46434,46435,46435,1,46433,46433,661,0,46373,0.07893840223550797,0.07789909839630127,0.19898366928100586,0.12962305545806885,0.21068239212036133,-0.06936061382293701,0.19046510756015778,-0.6664288640022278,0.0,12.887513160705566,46430,False,3.5,False
47602,47602,47602,47602,0,47600,47600,239,0,47540,0.07301834225654602,0.9491016864776611,0.6003378629684448,0.1281435489654541,0.07842159271240234,-0.4721943140029907,6.973127841949463,-4.553868293762207,1.0,13.761275291442871,47553,False,3.5,False
47231,47231,47234,47234,3,47232,47232,747,0,47172,0.0712827518582344,0.10050666332244873,0.2374182939529419,0.07769572734832764,-0.02315831184387207,-0.15972256660461426,0.36647412180900574,-1.538442850112915,0.0,1.761825680732727,47233,False,3.5,False
30058,30058,30060,30060,2,30058,30058,296,0,29998,0.06947804987430573,0.06650786101818085,0.08774566650390625,0.08525240421295166,0.15407133102416992,-0.00249326229095459,0.10177973657846451,-0.021143227815628052,0.0,18.120386123657227,30009,False,3.5,False
